t_s,alt_m,V_ms,climb_ms,cos_phi_theta,nose_dot_up,wx,wy,wz,freelook
90.20,1250.6,249.20,-99.35,0.8599,-0.4946,-0.4083,-0.0075,-0.0098,0
90.30,1240.2,249.73,-108.30,0.8399,-0.5280,-0.4064,-0.0053,-0.0079,0
90.40,1228.9,250.29,-117.16,0.8187,-0.5604,-0.4044,-0.0038,-0.0064,0
90.50,1216.7,250.88,-125.90,0.7963,-0.5918,-0.4022,-0.0026,-0.0053,0
90.60,1203.6,251.50,-134.50,0.7728,-0.6222,-0.4000,-0.0017,-0.0044,0
90.70,1189.7,252.16,-142.93,0.7485,-0.6513,-0.3852,-0.0055,-0.0040,0
90.80,1175.0,252.84,-151.20,0.7229,-0.6821,-0.3950,0.3100,0.0497,0
90.90,1159.4,253.54,-159.39,0.6954,-0.7109,-0.3927,0.0322,0.0982,0
91.00,1143.0,254.28,-167.38,0.6670,-0.7371,-0.3901,0.0661,0.0801,0
91.10,1125.9,255.03,-175.15,0.6379,-0.7624,-0.3874,0.0698,0.0755,0
91.20,1107.9,255.81,-182.68,0.6080,-0.7864,-0.3846,0.0491,0.0777,0
91.30,1089.3,256.62,-189.98,0.5775,-0.8090,-0.3818,0.0678,0.0737,0
91.40,1069.9,257.44,-197.02,0.5463,-0.8306,-0.3789,0.0487,0.0815,0
91.50,1049.8,258.29,-203.79,0.5145,-0.8505,-0.3759,0.0547,0.0767,0
91.60,1029.1,259.16,-210.29,0.4831,-0.8690,-0.3212,0.1424,0.0803,0
91.70,1007.7,260.06,-215.98,0.4880,-0.8677,0.5419,0.1088,-0.0419,0
91.80,986.0,261.00,-218.39,0.5413,-0.8353,0.5404,-0.1114,-0.0418,0
91.90,964.2,261.95,-217.39,0.6164,-0.7821,1.0152,-0.2444,-0.5925,0
92.00,942.7,262.81,-212.22,0.7011,-0.7093,1.0810,-0.2039,-0.5499,0
92.10,921.9,263.55,-203.17,0.7734,-0.6319,1.0623,-0.1028,-0.3436,0
92.20,902.2,264.15,-190.75,0.8324,-0.5534,0.7208,-0.0215,-0.1071,0
92.30,883.9,264.67,-176.57,0.8729,-0.4867,0.7754,-0.0072,0.0164,0
92.40,867.1,265.13,-160.81,0.9142,-0.4047,0.9835,-0.0869,-0.2931,0
92.50,852.0,265.47,-142.76,0.9488,-0.3158,0.9184,-0.1135,-0.3596,0
92.60,838.7,265.73,-123.39,0.9692,-0.2460,0.5353,-0.0189,0.2832,0
92.70,827.4,265.99,-105.24,0.9792,-0.2025,0.5197,-0.0406,-0.0547,0
92.80,817.8,266.24,-88.23,0.9897,-0.1429,0.6067,-0.0482,-0.0761,0
92.90,809.9,266.44,-71.55,0.9960,-0.0892,0.5180,-0.0145,-0.0146,0
93.00,803.6,266.60,-55.60,0.9993,-0.0371,0.5013,-0.0469,-0.0079,0
93.10,798.9,266.73,-40.35,1.0000,0.0088,0.4100,-0.0169,-0.0614,0
93.20,795.6,266.82,-25.96,0.9984,0.0563,0.4066,-0.0114,-0.0812,0
93.30,793.8,266.88,-12.49,0.9959,0.0891,0.2138,-0.0068,-0.0590,0
93.40,793.1,266.93,-1.13,0.9941,0.1066,0.1504,0.0018,-0.0289,0
93.50,793.5,266.98,8.22,0.9917,0.1262,0.2138,0.0423,0.0196,0
93.60,794.8,267.01,16.27,0.9898,0.1415,0.0894,0.0070,0.0471,0
93.70,796.8,267.03,22.75,0.9886,0.1497,0.0515,0.0013,0.0381,0
93.80,799.4,267.04,27.81,0.9878,0.1552,0.0292,-0.0009,0.0271,0
93.90,802.4,267.04,31.69,0.9873,0.1589,0.0147,-0.0013,0.0201,0
94.00,805.7,267.03,34.64,0.9869,0.1615,0.0050,-0.0012,0.0163,0
94.10,809.3,267.02,36.86,0.9866,0.1632,-0.0016,-0.0009,0.0139,0
94.20,813.1,267.00,38.23,0.9880,0.1543,-0.1429,0.0630,0.0706,0
94.30,816.9,266.99,38.19,0.9897,0.1428,-0.0988,0.0558,0.1080,0
94.40,820.7,266.97,37.07,0.9920,0.1232,-0.2291,0.1461,0.2116,0
94.50,824.2,266.95,34.16,0.9944,0.0911,-0.3129,0.1085,0.2644,0
94.60,827.4,266.94,29.46,0.9962,0.0561,-0.3841,0.0381,-0.0112,0
94.70,830.0,266.93,23.27,0.9977,0.0202,-0.3630,0.0173,-0.0297,0
94.80,832.0,266.95,16.39,0.9982,-0.0033,-0.1710,0.0900,-0.0190,0
94.90,833.3,266.99,10.18,0.9980,-0.0170,-0.1301,0.0261,-0.0017,0
95.00,834.0,267.07,4.91,0.9979,-0.0262,-0.0920,0.0178,-0.0273,0
95.10,834.2,267.17,0.62,0.9980,-0.0324,-0.0676,0.0174,-0.0497,0
95.20,834.1,267.29,-2.80,0.9981,-0.0367,-0.0516,0.0141,-0.0673,0
95.30,833.7,267.42,-5.48,0.9984,-0.0396,-0.0408,0.0097,-0.0777,0
95.40,833.0,267.56,-7.55,0.9986,-0.0416,-0.0335,0.0059,-0.0788,0
95.50,832.1,267.71,-9.14,0.9987,-0.0429,-0.0284,0.0033,-0.0721,0
95.60,831.2,267.87,-10.30,0.9989,-0.0419,0.0082,0.0127,-0.0391,0
95.70,830.1,268.03,-10.98,0.9990,-0.0410,-0.0124,0.0052,-0.0302,0
95.80,829.0,268.19,-11.41,0.9991,-0.0406,-0.0140,0.0027,-0.0299,0
95.90,827.8,268.35,-11.70,0.9991,-0.0407,-0.0211,0.0000,-0.0309,1
96.00,826.6,268.51,-11.93,0.9991,-0.0411,-0.0217,-0.0001,-0.0281,0
96.10,825.4,268.67,-12.13,0.9991,-0.0416,-0.0216,-0.0002,-0.0216,0
96.20,824.2,268.84,-12.30,0.9991,-0.0418,-0.0181,0.0001,-0.0153,0
96.30,823.0,269.00,-12.43,0.9991,-0.0419,-0.0177,0.0001,-0.0104,0
96.40,821.7,269.16,-12.53,0.9991,-0.0419,-0.0174,0.0001,-0.0070,0
96.50,820.4,269.32,-12.58,0.9992,-0.0404,0.0580,0.0172,-0.0028,0
96.60,819.2,269.48,-11.97,0.9997,-0.0236,0.2892,0.0608,0.0426,0
96.70,818.1,269.63,-9.20,0.9998,0.0147,0.4293,0.0232,0.0840,0
96.80,817.5,269.74,-3.28,0.9968,0.0788,0.8274,0.0043,0.0538,0
96.90,817.7,269.77,7.24,0.9866,0.1606,0.8318,0.0190,0.0872,0
97.00,819.2,269.68,21.91,0.9655,0.2588,1.0031,-0.0148,-0.0135,0
97.10,822.4,269.44,40.29,0.9370,0.3490,0.7673,-0.0388,-0.1142,0
97.20,827.4,269.12,59.24,0.9132,0.4073,0.4662,-0.0379,0.0561,0
97.30,834.3,268.78,76.08,0.8973,0.4412,0.3061,-0.0109,-0.0303,0
97.40,842.7,268.43,90.41,0.8791,0.4766,0.2924,-0.0306,-0.0635,0
97.50,852.4,268.07,102.73,0.8645,0.5026,0.2611,-0.0088,-0.0566,0
97.60,863.2,267.71,112.95,0.8549,0.5187,0.1648,-0.0034,-0.0336,0
97.70,875.0,267.33,121.49,0.8391,0.5440,0.3037,-0.0014,-0.0163,0
97.80,887.6,266.92,129.88,0.8130,0.5823,0.4633,0.0000,-0.0071,0
97.90,901.1,266.48,138.63,0.7909,0.6118,0.2944,-0.0001,-0.0008,0
98.00,915.4,266.01,146.79,0.7691,0.6390,0.3380,0.0002,0.0033,0
98.10,930.5,265.51,154.38,0.7490,0.6626,0.3811,0.0002,0.0058,0
98.20,946.3,264.99,161.62,0.7274,0.6862,0.2087,-0.0003,0.0067,0
98.30,962.8,264.46,168.08,0.7084,0.7058,0.2808,-0.0003,0.0077,0
98.40,979.9,263.90,174.05,0.6888,0.7249,0.2353,-0.0004,0.0078,0
98.50,997.6,263.34,179.31,0.6765,0.7364,0.1121,-0.0005,0.0085,0
98.60,1015.8,262.77,183.49,0.6698,0.7425,0.0205,-0.0005,0.0095,0
98.70,1034.3,262.20,185.96,0.6874,0.7263,-0.3683,-0.0446,0.0072,0
98.80,1052.9,261.65,185.70,0.7072,0.7003,-0.3818,-0.1097,-1.8703,0
98.90,1071.4,261.09,183.37,0.6988,0.6703,-0.3823,-0.3177,-1.9942,0
99.00,1089.5,260.52,179.50,0.6597,0.6319,-0.3811,-0.4490,-1.2140,0
99.10,1107.2,259.90,174.04,0.6820,0.5778,-0.3817,-0.7712,0.2429,0
99.20,1124.2,259.15,166.56,0.7172,0.5157,-0.3842,-0.7976,0.3776,0
99.30,1140.4,258.27,157.20,0.7548,0.4513,-0.3871,-0.7652,0.4340,0
99.40,1155.5,257.26,146.23,0.7913,0.3869,-0.3903,-0.7319,0.4301,0
99.50,1169.5,256.16,133.99,0.8239,0.3247,-0.3935,-0.5932,0.3877,0
99.60,1182.2,255.06,120.98,0.8510,0.2737,-0.3966,-0.3218,0.3031,0
99.70,1193.5,254.10,107.85,0.8717,0.2313,-0.3993,-0.1248,0.2106,0
99.80,1203.6,253.31,95.00,0.8870,0.1915,-0.4015,-0.1353,0.1383,0
99.90,1212.4,252.68,82.48,0.8983,0.1518,-0.4032,-0.1044,0.0915,0
100.00,1220.0,252.19,70.31,0.9064,0.1114,-0.4045,-0.1497,0.0613,0
100.10,1226.4,251.78,58.37,0.9119,0.0656,-0.4054,-0.3576,0.0453,0
100.20,1231.6,251.42,46.37,0.9150,0.0163,-0.4062,-0.3034,0.0346,0
100.30,1235.6,251.11,34.37,0.9158,-0.0297,-0.4067,-0.2891,0.0209,0
100.40,1238.4,250.85,22.44,0.9142,-0.0756,-0.4070,-0.2594,0.0076,0
100.50,1240.0,250.66,10.60,0.9103,-0.1200,-0.4072,-0.2040,-0.0043,0
100.60,1240.4,250.54,-1.08,0.9044,-0.1630,-0.4071,-0.1992,-0.0136,0
100.70,1239.7,250.48,-12.62,0.8963,-0.2062,-0.4068,-0.2325,-0.0235,0
100.80,1237.8,250.47,-24.06,0.8861,-0.2505,-0.4063,-0.2700,-0.0365,0
100.90,1234.7,250.51,-35.41,0.8737,-0.2933,-0.4056,-0.1960,-0.0486,0
101.00,1230.6,250.61,-46.62,0.8592,-0.3362,-0.4047,-0.2695,-0.0603,0
101.10,1225.3,250.73,-57.78,0.8424,-0.3810,-0.4036,-0.3112,-0.0829,0
101.20,1218.9,250.89,-68.91,0.8230,-0.4247,-0.4023,-0.2630,-0.1067,0
101.30,1211.5,251.08,-79.90,0.8015,-0.4651,-0.4009,-0.2117,-0.1154,0
101.40,1202.9,251.32,-90.65,0.7784,-0.5023,-0.3993,-0.1830,-0.1136,0
101.50,1193.2,251.62,-101.11,0.7539,-0.5384,-0.3975,-0.1567,-0.1143,0
101.60,1182.6,251.98,-111.26,0.7283,-0.5719,-0.3956,-0.1309,-0.1101,0
101.70,1170.9,252.40,-121.08,0.7018,-0.6036,-0.3936,-0.1030,-0.1048,0
101.80,1158.3,252.90,-129.95,0.6925,-0.5990,0.0742,0.6399,-0.0195,0
101.90,1145.0,253.56,-134.72,0.7178,-0.5408,0.3072,0.7848,0.1863,0
102.00,1131.5,254.22,-135.27,0.7485,-0.4898,0.3909,0.6353,1.1775,0
102.10,1118.1,254.78,-132.38,0.8347,-0.4321,0.4519,0.7848,1.9556,0
102.20,1105.2,255.17,-126.03,0.9039,-0.3779,0.4333,0.7811,1.9976,0
102.30,1093.0,255.38,-116.69,0.9483,-0.3153,0.7877,0.4201,1.9999,0
102.40,1082.0,255.50,-103.82,0.9662,-0.2345,0.8937,0.0841,1.0328,0
102.50,1072.5,255.60,-88.49,0.9728,-0.1748,0.1216,0.0058,-0.0936,1
102.60,1064.4,255.79,-75.71,0.9767,-0.1724,-0.0169,0.0018,-0.3094,0
102.70,1057.3,256.05,-66.68,0.9802,-0.1727,-0.0197,0.0013,-0.3126,0
102.80,1051.0,256.34,-60.42,0.9825,-0.1732,-0.0198,0.0007,-0.2559,0
102.90,1045.2,256.65,-56.03,0.9847,-0.1675,0.1393,-0.0501,-0.1880,0
103.00,1039.8,256.97,-51.90,0.9888,-0.1453,0.2289,-0.0340,-0.0903,0
103.10,1034.9,257.27,-47.34,0.9923,-0.1193,0.4842,-0.0203,-0.0005,0
103.20,1030.5,257.55,-40.82,0.9978,-0.0569,0.7936,-0.0249,0.0503,0
103.30,1026.9,257.74,-30.15,0.9986,0.0349,0.8044,-0.0240,0.0317,0
103.40,1024.6,257.83,-16.29,0.9933,0.1082,0.6991,-0.0212,0.0045,0
103.50,1023.8,257.84,-1.13,0.9840,0.1738,0.6199,-0.0416,-0.0241,0
103.60,1024.5,257.77,14.71,0.9687,0.2465,0.7887,-0.0843,-0.1485,0
103.70,1026.9,257.62,31.79,0.9458,0.3244,0.7796,-0.0362,-0.0696,0
103.80,1031.1,257.38,49.06,0.9258,0.3774,0.4887,-0.0164,0.0950,0
103.90,1036.8,257.12,64.77,0.9067,0.4209,0.4193,0.0051,0.0498,0
104.00,1044.1,256.84,78.65,0.8912,0.4528,0.3144,0.0132,-0.0050,0
104.10,1052.6,256.55,90.44,0.8795,0.4749,0.1640,0.0168,0.0011,0
104.20,1062.2,256.27,99.67,0.8794,0.4749,-0.2670,0.1255,0.0391,0
104.30,1072.4,256.01,104.60,0.8906,0.4422,-0.3979,0.1060,1.6585,0
104.40,1083.0,255.76,105.46,0.8701,0.4061,-0.3986,0.1121,1.9822,0
104.50,1093.4,255.51,103.52,0.8370,0.3655,-0.3885,0.5617,0.0831,0
104.60,1103.5,255.22,98.95,0.8556,0.3036,-0.3982,0.7784,-0.1973,0
104.70,1113.1,254.83,91.75,0.8750,0.2371,-0.3997,0.7980,-0.2229,0
104.80,1121.8,254.31,82.44,0.8920,0.1708,-0.4011,0.7208,-0.2104,0
104.90,1129.4,253.68,71.60,0.9053,0.1113,-0.4026,0.5274,-0.1691,0
105.00,1135.9,253.03,59.88,0.9142,0.0579,-0.4041,0.3961,-0.1196,0
105.10,1141.3,252.43,47.75,0.9192,0.0102,-0.4053,0.2505,-0.0767,0
105.20,1145.4,251.95,35.57,0.9210,-0.0330,-0.4062,0.2233,-0.0448,0
105.30,1148.3,251.57,23.49,0.9200,-0.0764,-0.4068,0.1368,-0.0224,0
105.40,1150.0,251.31,11.60,0.9166,-0.1168,-0.4071,0.1085,-0.0085,0
105.50,1150.5,251.15,-0.03,0.9113,-0.1563,-0.4071,0.0808,0.0004,0
105.60,1149.9,251.10,-11.39,0.9042,-0.1952,-0.4068,0.0897,0.0064,0
105.70,1148.2,251.12,-22.50,0.8955,-0.2330,-0.4064,0.0622,0.0103,0
105.80,1145.3,251.24,-32.89,0.8927,-0.2416,0.3599,-0.2066,0.0088,0
105.90,1141.7,251.49,-37.96,0.9056,-0.1647,0.4904,-0.7391,-0.0403,0
106.00,1137.9,251.82,-38.00,0.9112,-0.1212,0.2130,-0.6573,-0.2358,0
106.10,1134.2,252.08,-35.37,0.9515,-0.0666,0.4733,-0.4861,-1.4743,0
106.20,1131.0,252.26,-29.00,0.9858,-0.0032,0.4847,-0.2738,-1.0678,0
106.30,1128.5,252.36,-20.06,0.9940,0.0470,0.4521,-0.2029,-0.5064,0
106.40,1127.1,252.41,-9.87,0.9938,0.0977,0.5234,-0.2597,-0.4902,0
106.50,1126.7,252.40,1.03,0.9908,0.1338,0.2350,-0.0720,-0.3786,0
106.60,1127.3,252.40,10.82,0.9880,0.1528,0.1374,-0.0332,-0.4149,0
106.70,1128.9,252.40,18.99,0.9847,0.1647,0.0845,-0.0206,-0.2960,0
106.80,1131.1,252.41,25.54,0.9818,0.1726,0.0516,-0.0182,-0.1641,0
106.90,1133.9,252.43,30.33,0.9822,0.1643,-0.2039,-0.0849,-0.0655,0
107.00,1137.1,252.45,32.16,0.9851,0.1304,-0.4043,-0.1586,-0.8942,0
107.10,1140.3,252.47,30.69,0.9869,0.0891,-0.4106,-0.1801,0.0604,0
107.20,1143.1,252.48,26.65,0.9904,0.0479,-0.4108,-0.1330,0.0469,0
107.30,1145.5,252.50,20.78,0.9919,0.0072,-0.4107,-0.1134,0.0293,0
107.40,1147.2,252.53,13.61,0.9917,-0.0339,-0.4106,-0.1347,0.0168,0
107.50,1148.1,252.59,5.51,0.9896,-0.0744,-0.4103,-0.0946,0.0077,0
107.60,1148.2,252.66,-3.22,0.9859,-0.1148,-0.4100,-0.1273,0.0004,0
107.70,1147.4,252.77,-12.41,0.9806,-0.1549,-0.4095,-0.0821,-0.0056,0
107.80,1145.6,252.91,-21.89,0.9736,-0.1944,-0.4089,-0.0719,-0.0094,0
107.90,1142.9,253.09,-31.54,0.9651,-0.2332,-0.4081,-0.0499,-0.0108,0
108.00,1139.2,253.32,-41.28,0.9550,-0.2711,-0.4072,0.0061,-0.0089,0
108.10,1134.6,253.58,-51.05,0.9436,-0.3088,-0.4062,-0.0777,-0.0094,0
108.20,1128.9,253.89,-60.82,0.9306,-0.3464,-0.4050,-0.1101,-0.0168,0
108.30,1122.3,254.23,-70.58,0.9162,-0.3836,-0.4037,-0.1274,-0.0257,0
108.40,1114.7,254.60,-80.29,0.9002,-0.4201,-0.4023,-0.1111,-0.0345,0
108.50,1106.2,255.00,-89.93,0.8828,-0.4558,-0.4008,-0.0814,-0.0406,0
108.60,1096.7,255.44,-99.46,0.8641,-0.4904,-0.3991,-0.0814,-0.0432,0
108.70,1086.2,255.91,-108.87,0.8441,-0.5242,-0.3973,-0.0995,-0.0453,0
108.80,1074.8,256.42,-118.13,0.8229,-0.5571,-0.3954,-0.0818,-0.0495,0
108.90,1062.5,256.96,-127.24,0.8006,-0.5888,-0.3934,-0.0540,-0.0510,0
109.00,1049.3,257.53,-136.16,0.7771,-0.6193,-0.3913,-0.0581,-0.0482,0
109.10,1035.2,258.14,-144.88,0.7527,-0.6487,-0.3891,-0.0586,-0.0470,0
109.20,1020.3,258.78,-153.41,0.7273,-0.6772,-0.3868,-0.0610,-0.0496,0
109.30,1004.5,259.45,-161.72,0.7010,-0.7044,-0.3845,-0.0548,-0.0508,0
109.40,987.9,260.15,-169.81,0.6738,-0.7305,-0.3820,-0.0507,-0.0513,0
109.50,970.4,260.87,-177.66,0.6458,-0.7553,-0.3795,-0.0473,-0.0516,0
109.60,952.3,261.63,-185.27,0.6171,-0.7790,-0.3769,-0.0325,-0.0518,0
109.70,933.3,262.41,-192.62,0.5878,-0.8009,-0.3742,0.0272,-0.0400,0
109.80,913.7,263.22,-199.16,0.5872,-0.7992,0.3075,0.3176,0.0089,0
109.90,893.6,264.09,-202.79,0.6054,-0.7822,0.1608,0.2546,0.1131,0
110.00,873.2,264.97,-204.46,0.6171,-0.7713,-0.0215,0.2432,0.1325,0
110.10,852.7,265.84,-205.07,0.6382,-0.7562,0.2479,0.1715,0.6794,0
110.20,832.2,266.68,-203.91,0.6811,-0.7247,0.6127,0.0503,0.6693,0
110.30,812.0,267.50,-200.01,0.7303,-0.6800,0.6306,-0.0172,0.4372,0
110.40,792.4,268.25,-193.41,0.7840,-0.6191,0.8810,-0.0284,0.1072,0
110.50,773.5,268.90,-183.48,0.8385,-0.5433,1.0254,-0.1123,-0.1934,0
110.60,755.9,269.44,-170.08,0.8884,-0.4562,1.0523,-0.0586,-0.1166,0
110.70,739.7,269.83,-153.23,0.9322,-0.3570,1.0959,-0.0422,-0.0999,0
110.80,725.5,270.09,-133.10,0.9645,-0.2538,1.0165,-0.0689,-0.1595,0
110.90,713.4,270.22,-110.84,0.9836,-0.1617,0.8848,-0.0454,-0.0748,0
111.00,703.5,270.28,-87.76,0.9937,-0.0736,0.8796,0.0016,-0.0031,0
111.10,696.0,270.26,-64.12,0.9964,0.0167,0.8976,0.0081,0.0235,0
111.20,690.9,270.16,-40.06,0.9915,0.1038,0.8239,0.0069,0.0858,0
111.30,688.2,269.99,-16.57,0.9831,0.1742,0.6265,0.0315,0.2933,0
111.40,687.7,269.79,5.58,0.9671,0.2522,0.9693,0.0543,0.1426,0
111.50,689.5,269.49,28.60,0.9380,0.3462,0.8706,0.0517,0.1762,0
111.60,693.6,269.09,51.47,0.9099,0.4149,0.6237,0.0358,0.1166,0
111.70,699.9,268.67,72.29,0.8826,0.4701,0.5740,0.0368,0.0759,0
111.80,708.2,268.21,91.20,0.8493,0.5275,0.6404,0.0662,0.0872,0
111.90,718.3,267.71,108.73,0.8188,0.5733,0.3756,0.0524,0.0018,0
112.00,730.0,267.21,123.50,0.7977,0.6021,0.4251,0.0540,0.0557,0
112.10,743.0,266.71,135.94,0.7781,0.6268,0.2028,0.0292,0.0642,0
112.20,757.2,266.21,145.79,0.7675,0.6394,0.1157,0.0123,0.0173,0
112.30,772.2,265.72,153.22,0.7609,0.6472,0.0708,0.0073,-0.0272,0
112.40,787.8,265.23,158.71,0.7567,0.6524,0.0430,0.0070,-0.0551,0
112.50,803.9,264.75,162.71,0.7539,0.6558,0.0251,0.0068,-0.0699,0
112.60,820.3,264.25,165.59,0.7521,0.6582,0.0133,0.0055,-0.0757,0
112.70,837.0,263.76,167.63,0.7509,0.6598,0.0053,0.0041,-0.0747,0
112.80,853.8,263.27,169.04,0.7501,0.6609,-0.0001,0.0028,-0.0690,0
112.90,870.8,262.77,169.98,0.7496,0.6617,-0.0037,0.0019,-0.0606,0
113.00,887.8,262.27,170.59,0.7492,0.6622,-0.0063,0.0012,-0.0509,0
113.10,904.9,261.77,170.95,0.7489,0.6626,-0.0080,0.0008,-0.0414,0
113.20,922.0,261.27,171.12,0.7487,0.6629,-0.0092,0.0005,-0.0327,0
113.30,939.1,260.77,171.15,0.7485,0.6631,-0.0100,0.0003,-0.0253,0
113.40,956.2,260.28,171.09,0.7484,0.6632,-0.0106,0.0002,-0.0192,0
113.50,973.3,259.78,170.96,0.7483,0.6633,-0.0110,0.0001,-0.0143,0
113.60,990.4,259.28,170.77,0.7482,0.6634,-0.0113,0.0001,-0.0106,0
113.70,1007.5,258.79,170.55,0.7482,0.6635,-0.0114,0.0001,-0.0077,0
113.80,1024.5,258.30,170.30,0.7481,0.6635,-0.0115,0.0000,-0.0056,0
113.90,1041.5,257.81,170.02,0.7481,0.6636,-0.0116,0.0000,-0.0040,0
